Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
09/02/2021,91,20,21,17,24,21,22,74,42,45,39,33,33,31,42,23,33,22,20,40,36,34,48,86
09/03/2021,95,24,22,23,20,29,26,70,42,45,40,43,48,46,37,34,35,34,31,42,45,42,40,82
09/04/2021,83,27,29,16,18,22,21,55,34,46,41,45,44,32,39,22,37,38,20,51,39,34,35,70
09/05/2021,64,24,20,23,15,29,26,61,36,40,37,40,44,32,37,24,32,25,37,43,40,38,35,63
09/06/2021,63,17,19,22,15,29,17,59,37,41,27,48,46,35,21,22,46,21,32,51,51,36,43,82
09/07/2021,74,21,28,20,23,27,27,71,37,43,53,61,51,36,29,40,45,39,23,53,50,65,43,79
09/08/2021,81,34,41,29,36,32,26,83,50,47,54,58,74,47,39,33,67,32,26,38,65,41,39,78
09/09/2021,99,36,27,43,28,49,28,74,61,56,34,32,36,35,31,30,42,16,38,38,36,40,56,77
09/10/2021,78,38,39,41,31,41,48,60,50,40,50,43,52,28,25,47,31,24,33,34,38,32,42,66
09/11/2021,90,37,19,15,14,26,16,61,26,31,36,35,37,28,44,20,19,14,20,24,40,39,27,68
09/12/2021,67,26,18,8,17,25,24,52,35,38,43,33,37,19,30,46,43,26,51,40,35,36,36,64
09/13/2021,58,21,18,20,14,23,22,72,58,49,37,52,48,30,26,23,26,16,34,34,49,39,28,67
09/14/2021,78,38,25,27,24,34,31,72,57,35,49,41,41,42,31,23,32,20,30,32,14,29,33,57
09/15/2021,87,31,26,21,25,41,33,80,43,30,30,38,50,32,43,42,36,28,22,39,20,17,26,67
09/16/2021,81,25,21,24,38,38,33,87,52,63,49,58,69,48,37,26,49,38,38,48,32,37,54,84
09/17/2021,91,15,14,15,14,13,14,72,36,35,22,20,28,32,39,30,23,29,31,32,39,36,34,63
09/18/2021,89,19,11,10,8,7,13,70,30,24,26,32,28,13,24,7,25,29,11,24,19,30,25,63
09/19/2021,65,14,11,18,7,12,17,62,28,25,28,24,25,47,16,21,24,16,15,26,23,28,36,60
09/20/2021,65,6,8,9,10,26,24,75,41,20,24,50,32,32,45,22,40,22,21,36,33,47,31,60
09/21/2021,91,18,12,17,9,15,15,74,46,32,45,49,44,31,43,23,27,17,21,30,39,32,24,69
09/22/2021,89,18,4,27,12,14,16,72,27,26,38,35,27,19,24,16,20,17,32,33,45,30,25,59
09/23/2021,81,18,22,8,13,18,10,73,35,30,44,40,31,39,31,15,23,22,29,30,34,49,23,57
09/24/2021,100,23,19,8,8,9,32,68,32,35,29,60,66,46,44,43,36,47,27,43,47,30,28,58
09/25/2021,75,25,15,25,17,20,27,83,33,33,39,48,39,24,20,34,34,32,23,46,47,35,19,73
09/26/2021,80,22,14,18,31,19,19,57,28,24,31,39,54,23,38,19,26,29,33,41,35,45,39,54
09/27/2021,68,14,16,23,27,21,15,74,43,45,39,53,43,28,40,23,40,33,37,35,37,32,39,60
09/28/2021,82,16,18,28,17,24,21,64,43,39,39,46,41,36,26,29,33,49,37,28,38,41,22,56
09/29/2021,93,20,16,21,15,20,15,83,47,41,40,32,49,39,32,27,33,32,36,41,28,39,42,74
09/30/2021,79,20,22,21,19,27,29,81,41,25,29,32,45,31,29,38,42,29,44,42,38,44,47,72
10/01/2021,84,20,19,40,19,41,23,80,43,23,29,35,32,37,31,29,33,24,32,29,42,36,48,61
10/02/2021,77,16,33,10,30,24,34,61,46,39,40,45,50,44,19,31,32,28,35,44,36,49,47,75
10/03/2021,76,14,10,29,16,17,18,64,47,43,47,47,48,56,39,45,31,34,34,47,52,53,52,64
10/04/2021,65,16,17,28,10,21,27,67,63,46,42,51,29,44,33,26,39,37,26,49,39,46,43,63
10/05/2021,86,38,24,27,29,33,35,72,55,45,60,45,54,50,38,46,32,30,43,55,44,45,47,57
10/06/2021,88,52,44,55,32,49,49,81,57,43,54,56,55,58,40,37,40,38,61,57,54,50,51,88
10/07/2021,90,23,18,27,25,26,52,65,40,46,40,31,33,28,33,23,29,32,30,37,32,31,42,59
10/08/2021,93,32,20,21,26,25,46,75,34,45,39,38,41,41,39,48,31,33,37,40,30,40,32,74
10/09/2021,88,24,22,26,21,23,35,63,34,36,44,41,35,37,36,21,20,20,23,34,35,38,21,60
10/10/2021,56,21,13,8,11,17,25,64,30,21,28,35,35,26,21,32,26,30,26,33,29,30,26,58
10/11/2021,64,10,14,16,25,16,25,70,33,27,34,27,25,31,16,19,19,18,39,32,28,29,31,51
10/12/2021,72,17,19,13,18,25,33,62,37,32,41,38,39,39,26,16,24,31,19,26,22,26,30,51
10/13/2021,76,21,25,19,14,34,29,82,42,39,39,43,54,32,31,28,33,35,28,34,33,37,23,56
10/14/2021,92,17,15,18,13,25,28,81,53,37,45,49,32,32,31,35,27,31,30,40,38,31,25,69
10/15/2021,72,26,15,15,9,24,20,72,41,34,48,42,45,35,44,36,31,35,28,35,37,32,29,68
10/16/2021,79,24,21,17,31,41,25,79,40,42,45,34,39,47,41,33,18,28,31,37,42,26,36,60
10/17/2021,59,23,27,21,23,21,29,59,35,22,40,40,42,39,23,30,23,37,30,35,51,36,30,63
10/18/2021,64,22,22,26,26,33,34,59,39,57,33,41,38,24,28,23,22,22,26,26,22,32,39,69
10/19/2021,95,18,23,23,19,28,33,60,33,27,34,51,36,23,45,36,36,31,33,30,21,43,21,72
10/20/2021,83,23,29,26,23,29,50,66,34,25,39,37,34,28,50,34,28,35,23,39,34,42,27,75
10/21/2021,100,24,33,22,30,27,48,77,37,33,34,39,41,40,30,26,37,23,38,38,30,34,36,78
10/22/2021,72,26,27,27,30,31,42,77,41,35,32,31,32,27,31,34,27,31,31,30,36,29,22,73
10/23/2021,90,14,15,21,15,29,29,73,33,38,29,29,25,35,31,34,24,28,43,39,32,28,37,75
10/24/2021,75,25,23,25,18,20,33,77,32,33,31,37,25,35,27,34,19,26,28,43,34,27,16,72
10/25/2021,72,31,25,26,26,27,42,76,37,24,32,38,37,45,31,20,21,38,33,30,28,22,27,66
10/26/2021,101,24,13,18,21,24,35,74,32,27,44,45,34,36,37,26,24,42,40,27,34,41,24,60
10/27/2021,88,20,15,22,19,26,23,78,36,32,32,37,41,26,40,34,30,37,31,28,21,39,12,49
10/28/2021,76,22,8,20,12,18,29,76,29,30,35,38,29,36,33,25,47,35,34,33,31,28,30,63
10/29/2021,103,21,33,22,30,29,46,77,44,31,36,33,35,23,25,28,35,29,25,40,27,35,32,68
10/30/2021,89,27,23,23,23,33,45,78,37,38,39,53,45,38,38,28,26,38,44,43,39,42,34,78
